day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14
0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1,2,3,4,5,6,7,8,9,10,11,12,13
2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,3,4,5,6,7,8,9,10,11,12,13,14,15
4,5,6,7,8,9,10,11,12,13,14,15,16,17
4,5,6,7,8,9,10,11,12,13,14,15,16,17
4,5,6,7,8,9,10,11,12,13,14,15,16,17
6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,7,8,9,10,11,12,13,14,15,16,17,18,19
29,30,31,32,33,34,35,36,37,38,39,40,41,42
8,9,10,11,12,13,14,15,16,17,18,19,20,21
8,9,10,11,12,13,14,15,16,17,18,19,20,21
8,9,10,11,12,13,14,15,16,17,18,19,20,21
9,10,11,12,13,14,15,16,17,18,19,20,21,22
9,10,11,12,13,14,15,16,17,18,19,20,21,22
13,14,15,16,17,18,19,20,21,22,23,24,25,26
13,14,15,16,17,18,19,20,21,22,23,24,25,26
22,23,24,25,26,27,28,29,30,31,32,33,34,35
22,23,24,25,26,27,28,29,30,31,32,33,34,35
22,23,24,25,26,27,28,29,30,31,32,33,34,35
22,23,24,25,26,27,28,29,30,31,32,33,34,35
22,23,24,25,26,27,28,29,30,31,32,33,34,35
22,23,24,25,26,27,28,29,30,31,32,33,34,35
22,23,24,25,26,27,28,29,30,31,32,33,34,35
30,31,32,33,34,35,36,37,38,39,40,41,42,43
30,31,32,33,34,35,36,37,38,39,40,41,42,43
30,31,32,33,34,35,36,37,38,39,40,41,42,43
30,31,32,33,34,35,36,37,38,39,40,41,42,43
30,31,32,33,34,35,36,37,38,39,40,41,42,43
30,31,32,33,34,35,36,37,38,39,40,41,42,43
30,31,32,33,34,35,36,37,38,39,40,41,42,43
41,42,43,44,45,46,47,48,49,50,51,52,53,54
41,42,43,44,45,46,47,48,49,50,51,52,53,54
41,42,43,44,45,46,47,48,49,50,51,52,53,54
41,42,43,44,45,46,47,48,49,50,51,52,53,54
41,42,43,44,45,46,47,48,49,50,51,52,53,54
49,50,51,52,53,54,55,56,57,58,59,60,61,62
49,50,51,52,53,54,55,56,57,58,59,60,61,62
49,50,51,52,53,54,55,56,57,58,59,60,61,62
63,64,65,66,67,68,69,70,71,72,73,74,75,76
63,64,65,66,67,68,69,70,71,72,73,74,75,76
