arable_area,distance_from_release_pen_m,shrub_density,woodland_density,canopy_cover
27.091708,1146.056604,28.29421211,0.742723068,15
0.106103,1366.23901,28.29421211,0.212206591,0
31.33584,997.1804884,70.73553026,9.478561055,0
57.755561,588.4592965,74.27230678,3.359937687,0
79.577472,806.8293226,35.36776513,1.556181666,30
47.781851,1315.1,45.97809467,10.07981306,75
31.512679,1331.5,74.27230678,15.98622984,40
33.528641,4980.089757,45.97809467,2.794053445,0
40.107046,1307.4,14.14710605,3.076995566,75
24.898907,1951.7,7.073553026,0,0
0,550.94,60.12520072,21.75117556,0
16.198436,85.39905499,67.19875375,11.98967238,10
33.281067,603.2750252,74.27230678,15.73865548,35
2.758686,571.0244438,56.58842421,17.86072139,25
34.66041,961.2093551,77.80908329,21.22065908,50
21.185291,2198.112092,49.51487118,33.17496369,75
19.805949,1673.566192,60.12520072,5.800313482,35
24.828171,4913.195578,53.0516477,39.11674824,25
46.862289,3542.955338,60.12520072,2.122065908,15
29.390613,4831.719024,45.97809467,2.652582385,15
46.826921,5048.035571,42.44131816,11.52989143,10
0.247574,3540.94766,67.19875375,69.32081966,30
0.247574,3540.549553,81.3458598,59.70078754,45
11.494524,3800.913231,91.95618934,64.33396477,30
2.758686,3714.205521,81.3458598,66.59750174,25
0.212207,3755.048954,53.0516477,66.66823727,35
0.353678,4109.252695,24.75743559,33.03349263,35
0.353678,4360.305477,21.22065908,59.34710989,30
40.920504,1660.147975,56.58842421,21.64507226,30
40.920504,1747.31988,60.12520072,20.01815506,25
34.695778,1684.124651,70.73553026,23.09515063,0
6.153991,1268.045601,63.66197724,43.64382217,35
81.699538,907.5314773,49.51487118,5.163693709,30
95.846644,1217.878666,7.073553026,0.106103295,40
60.867924,1586.553518,0,37.7374054,0
5.729578,1246.884716,88.41941283,38.93990941,30
0.31831,988.3404195,88.41941283,31.30047214,70
0,717.9824183,102.5665189,35.93364937,30
0.070736,421.607947,77.80908329,14.606887,35
1.450078,674.6392747,42.44131816,32.32613733,55
43.431616,888.1,24.75743559,5.411268065,10
12.095776,1331.1,17.68388257,2.68795015,0
15.455713,1178.2,21.22065908,1.23787178,0
59.594684,1492.1,21.22065908,1.37934284,80
37.206889,1776.6,3.536776513,0,0
