day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14
0.0,0.0,0.0,0.025,3.458,0.382,0.842,0.0,4.303,0.972,0.383,0.0,0.004,0.664
0.0,0.0,0.0,0.032,3.533,0.378,0.853,0.0,4.273,0.963,0.378,0.0,0.005,0.682
0.0,0.025,3.452,0.382,0.844,0.0,4.297,0.971,0.382,0.0,0.004,0.668,5.079,0.765
0.0,0.024,3.448,0.384,0.841,0.0,4.305,0.972,0.383,0.0,0.004,0.662,5.074,0.766
0.0,0.019,3.395,0.386,0.834,0.0,4.318,0.976,0.386,0.0,0.003,0.653,5.063,0.772
0.0,0.046,3.62,0.36,0.9,0.0,4.141,0.929,0.36,0.0,0.011,0.78,5.18,0.721
0.0,0.048,3.635,0.36,0.904,0.0,4.135,0.927,0.359,0.0,0.011,0.785,5.184,0.718
4.32,0.312,1.018,0.0,3.864,0.849,0.312,0.0,0.021,0.959,5.398,0.624,6.712,0.827
3.575,0.364,0.888,0.0,4.169,0.937,0.365,0.0,0.009,0.759,5.16,0.729,7.107,0.928
3.546,0.368,0.884,0.0,4.186,0.941,0.367,0.0,0.009,0.75,5.149,0.734,7.127,0.933
1.002,0.0,3.892,0.858,0.32,0.0,0.021,0.95,5.365,0.639,6.748,0.838,0.962,0.359
1.003,0.0,3.891,0.857,0.319,0.0,0.021,0.949,5.368,0.639,6.747,0.838,0.961,0.361
1.003,0.0,3.89,0.858,0.319,0.0,0.02,0.947,5.368,0.638,6.746,0.838,0.96,0.361
0.0,0.22,6.198,13.765,8.959,1.43,0.642,0.0,0.0,0.0,9.898,2.406,0.0,0.0
4.291,0.97,0.381,0.0,0.004,0.67,5.083,0.763,7.26,0.964,0.988,0.239,0.0,0.014
4.324,0.978,0.387,0.0,0.003,0.65,5.056,0.775,7.302,0.975,0.992,0.227,0.0,0.01
4.327,0.979,0.388,0.0,0.003,0.648,5.054,0.775,7.307,0.976,0.992,0.226,0.0,0.01
0.895,0.339,0.0,0.015,0.849,5.273,0.679,6.924,0.879,0.967,0.324,0.0,0.046,0.031
0.879,0.33,0.0,0.017,0.889,5.315,0.66,6.849,0.861,0.963,0.342,0.0,0.053,0.036
0.96,5.397,0.624,6.709,0.826,0.953,0.38,0.0,0.067,0.046,0.0,0.0,0.0,4.002
0.838,5.261,0.684,6.945,0.885,0.969,0.318,0.0,0.044,0.03,0.0,0.0,0.0,3.653
0.004,0.0,0.0,0.0,4.147,0.774,0.0,0.0,0.582,25.312,24.649,3.215,1.032,0.008
0.003,0.0,0.0,0.0,4.153,0.778,0.0,0.0,0.584,25.37,24.695,3.213,1.033,0.008
0.003,0.0,0.0,0.0,4.152,0.778,0.0,0.0,0.585,25.409,24.729,3.215,1.028,0.007
0.004,0.0,0.0,0.0,4.147,0.778,0.0,0.0,0.584,25.347,24.678,3.214,1.034,0.008
0.004,0.0,0.0,0.0,4.141,0.774,0.0,0.0,0.582,25.274,24.616,3.215,1.036,0.009
0.005,0.0,0.0,0.0,4.115,0.763,0.0,0.0,0.574,25.008,24.399,3.218,1.045,0.012
0.005,0.0,0.0,0.0,4.108,0.763,0.0,0.0,0.574,24.956,24.353,3.218,1.047,0.012
0.222,6.107,13.708,9.018,1.405,0.647,0.0,0.0,0.0,9.901,2.426,0.0,0.0,0.162
0.222,6.103,13.706,9.021,1.402,0.647,0.0,0.0,0.0,9.902,2.427,0.0,0.0,0.162
0.222,6.117,13.712,9.013,1.404,0.646,0.0,0.0,0.0,9.899,2.424,0.0,0.0,0.162
0.221,6.122,13.718,9.009,1.408,0.646,0.0,0.0,0.0,9.903,2.422,0.0,0.0,0.161
0.22,5.986,13.635,9.068,1.394,0.652,0.0,0.0,0.0,9.931,2.444,0.0,0.0,0.163
0.22,5.978,13.63,9.073,1.391,0.652,0.0,0.0,0.0,9.93,2.446,0.0,0.0,0.163
0.22,5.9,13.584,9.11,1.382,0.656,0.0,0.0,0.0,9.944,2.459,0.0,0.0,0.164
0.0,0.0,0.161,0.0,0.0,6.508,6.092,0.161,0.0,1.167,0.0,0.0,0.136,0.701
0.0,0.0,0.161,0.0,0.0,6.504,6.094,0.161,0.0,1.165,0.0,0.0,0.136,0.7
0.0,0.0,0.161,0.0,0.0,6.505,6.094,0.161,0.0,1.164,0.0,0.0,0.137,0.7
0.0,0.0,0.16,0.0,0.0,6.501,6.097,0.16,0.0,1.162,0.0,0.0,0.138,0.701
0.0,0.0,0.16,0.0,0.0,6.503,6.096,0.16,0.0,1.162,0.0,0.0,0.139,0.701
0.0,1.299,0.0,0.0,0.059,0.756,0.032,0.0,1.08,0.008,0.0,0.0,0.025,0.766
0.0,1.3,0.0,0.0,0.059,0.756,0.032,0.0,1.071,0.008,0.0,0.0,0.025,0.766
0.0,1.289,0.0,0.0,0.065,0.752,0.035,0.0,1.2,0.009,0.0,0.0,0.028,0.763
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.7,1.6,4.1,0.1,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.7,1.6,4.1,0.1,1.0,0.0
